nombre_archivo,ruta,fecha_captura_o_estimada,dispositivo,hash_sha256,estado_y_metodo
Area_Enfermeria.jpeg,02_Evidencias/Fotos_Entorno/Area_Enfermeria.jpeg,17/7/2026,Redmi Note 13 (declarado por el equipo; EXIF perdido al compartir por WhatsApp),bf9eeeb16c33e31340b62711a3a6fbb668cda722beb9c1130963a96cc3a2b2a0,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - INFERIDA: misma fecha que entrevista P06_Enfermeria
Area_Informacion.jpeg,02_Evidencias/Fotos_Entorno/Area_Informacion.jpeg,7/7/2026,Redmi Note 13 (declarado por el equipo; EXIF perdido al compartir por WhatsApp),7169d2b528b0957128fbdcf8bbf7d00b371fccbc718f4afb5e213229ff002952,"SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - INFERIDA: área de Recepción/Información, misma fecha que P07_Recepcion_Recaudacion"
Asientos de espera.jpg,02_Evidencias/Fotos_Entorno/Asientos de espera.jpg,1/9/2026 12:37,Samsung Galaxy A16,38bc6e5c5b9e50d7553bccc7dfd569ce8298f7337cbed440cc21c02a3cb8f554,"CON_EXIF (real, verificado)"
Entorno_Entrevista.jpeg,02_Evidencias/Fotos_Entorno/Entorno_Entrevista.jpeg,4/6/2026,iPhone (declarado por el equipo; EXIF perdido al compartir por WhatsApp),619c15d2413183de4c1e6d801db4967b15a90b69613202b9728a2011681bab12,"SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - INFERIDA: foto general de entorno de entrevista, ronda de junio"
Entrada al centro médico.jpg,02_Evidencias/Fotos_Entorno/Entrada al centro médico.jpg,17/7/2026 13:25,iPhone 11,ce9fcaaccab302d6eed58dd2717b5721a2baeaf4b9d9313860e21a5c3c7a4b17,"CON_EXIF (real, verificado) - GPS eliminado el 19/09/2026 con piexif (fecha y modelo EXIF conservados; ver 07_Datos/registro_correcciones.md)"
Espacio de espera.jpg,02_Evidencias/Fotos_Entorno/Espacio de espera.jpg,17/7/2026 13:29,iPhone 11,b6f385a16936d3d0a885b0ea9bf771d8b824743a4714abbaf28bff0267ea996b,"CON_EXIF (real, verificado) - GPS eliminado el 19/09/2026 con piexif (fecha y modelo EXIF conservados; ver 07_Datos/registro_correcciones.md)"
Exterior del centro médico(entrada).jpg,02_Evidencias/Fotos_Entorno/Exterior del centro médico(entrada).jpg,17/7/2026 13:25,iPhone 11,7fad167169edf9e7ee5cc5b8bbed8b64c64d6ebbbfdb827b3c6e9214898d6004,"CON_EXIF (real, verificado) - GPS eliminado el 19/09/2026 con piexif (fecha y modelo EXIF conservados; ver 07_Datos/registro_correcciones.md)"
Fachada_Centro_Medico.jpg,02_Evidencias/Fotos_Entorno/Fachada_Centro_Medico.jpg,3/9/2026,iPhone (declarado por el equipo; EXIF perdido al compartir por WhatsApp),c8b5f066541f508b4c9e260efada9624a1e53b3a4b94e3e3a7521e0f38d589f9,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - APROXIMADA: fecha de incorporación al repositorio (commit de git); foto general del centro
Sala Administrativa.png,02_Evidencias/Fotos_Entorno/Sala Administrativa.png,3/9/2026,iPhone (declarado por el equipo; EXIF perdido al compartir por WhatsApp),39d8b54bedae329f316097186ffb63e1f17b33640cc40a3fd4474b5e8f0c6dbe,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - APROXIMADA: fecha de incorporación al repositorio (commit de git); no asociada a un área/entrevista específica
Sala de archivo.png,02_Evidencias/Fotos_Entorno/Sala de archivo.png,3/9/2026,iPhone (declarado por el equipo; EXIF perdido al compartir por WhatsApp),de7ff6a1ce3f9945acd65cc7a1ac570eb50bc02c0772501a4990aae6d1734a88,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - APROXIMADA: fecha de incorporación al repositorio (commit de git); no asociada a un área/entrevista específica
Sala de espera.jpg,02_Evidencias/Fotos_Entorno/Sala de espera.jpg,17/7/2026 13:39,iPhone 11,064813b0a4868143b8123e71c29bfd002077d21d3124faceb1b7e0a180c2150f,"CON_EXIF (real, verificado) - GPS eliminado el 19/09/2026 con piexif (fecha y modelo EXIF conservados; ver 07_Datos/registro_correcciones.md)"
Sala_Enfermeria.jpeg,02_Evidencias/Fotos_Entorno/Sala_Enfermeria.jpeg,17/7/2026,Redmi Note 13 (declarado por el equipo; EXIF perdido al compartir por WhatsApp),cbda7878681efd773a563e8537aa9195078014467deb18377029f99d68e9ecd4,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - INFERIDA: misma fecha que entrevista P06_Enfermeria
Sala_Informacion.png,02_Evidencias/Fotos_Entorno/Sala_Informacion.png,7/7/2026,Redmi Note 13 (declarado por el equipo; EXIF perdido al compartir por WhatsApp),3e4c4d7c4e297e82158d366e6275f7eb6e4c5fcaad200511827b95fabfaa8960,"SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - INFERIDA: área de Recepción/Información, misma fecha que P07_Recepcion_Recaudacion"
Sala_Informacion_Entrevista.jpeg,02_Evidencias/Fotos_Entorno/Sala_Informacion_Entrevista.jpeg,17/7/2026 13:21,Redmi Note 13 (marca quemada visible en el duplicado 10_Autoria/correspondencia/evidencia_entrevista/2026-07-17_recepcion.png),f285809261dcb9e6e84a793b72274f776c814995f8ddd9f451efe4603745fe90,"SIN_EXIF en metadato (perdido por WhatsApp) - CORREGIDA: es la misma toma que 2026-07-17_recepcion.png (revisita fotográfica del espacio, no la fecha de la entrevista P07)."
Sala_Obstetricia.png,02_Evidencias/Fotos_Entorno/Sala_Obstetricia.png,3/9/2026,iPhone (declarado por el equipo; EXIF perdido al compartir por WhatsApp),77af1d668afeff28e3a6b2d7da6475ec25f306684056d677b1dba0e7bb11cb61,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - APROXIMADA: fecha de incorporación al repositorio (commit de git); no hay entrevista de Obstetricia para inferir fecha de campo real
Sala_de_TerapiaFísica.png,02_Evidencias/Fotos_Entorno/Sala_de_TerapiaFísica.png,4/6/2026,iPhone (declarado por el equipo; EXIF perdido al compartir por WhatsApp),88d59a4729f304d9c134f677ef6ea4f5a1951ec4c893e0109e2ea00a730e7fe3,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - INFERIDA: misma fecha que entrevista P03_Terapia_Fisica
Vista de entrada del centro médico.jpeg,02_Evidencias/Fotos_Entorno/Vista de entrada del centro médico.jpeg,3/9/2026,iPhone (declarado por el equipo; EXIF perdido al compartir por WhatsApp),c17f0cc8039a20c1158b03ca9bd4ee2f5095c7a24f4b543a34969702eef861e2,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - APROXIMADA: fecha de incorporación al repositorio (commit de git); foto general del centro
Vista desde asientos.jpg,02_Evidencias/Fotos_Entorno/Vista desde asientos.jpg,1/9/2026 12:36,Samsung Galaxy A16,fb7b9d65b12174edef8741d1aa052527cf2958806aeb3c1424ec4b5fa2a2d134,"CON_EXIF (real, verificado)"
Área de Psicología.png,02_Evidencias/Fotos_Entorno/Área de Psicología.png,4/6/2026,iPhone (declarado por el equipo; EXIF perdido al compartir por WhatsApp),7ad286b5079e781ce3306ebc1171ec9fe1f1b9e39e73f87fe97cee28de8a77af,SIN_EXIF (perdido por WhatsApp para poder subir/pixelar) - INFERIDA: misma fecha que entrevista P01_Psicologia
